"DEPTID","DEPTCHAIRID","DEPTNAME","NUMFACULTY","PHONE","EMAIL","COLLEGECODEE"
"11001101","11001111","department of Butler","5","6092583474","dstirk@butler.edu","333445566"
"11001102","11001122","Head department of Butler","5","6092583488","dstirk22@butler.edu","333445566"
"11002201","11002211","department of Mathey","3","6092583778","main.dstirk@Mathey .edu","333445511"
"11002202","11002222","main departmen of Mathey college","2","6092583777","dstirk@Mathey.edu","333445511"
"11003301","11003311","department of Whitman College","7","6092583222","dstirk@Whitman.edu","333445522"
"11003302","11003322","main department of Whitman College","2","6092583229","main.dstirk@Whitman.edu","333445522"
"11004401","11004411","department of Wilson College","7","6092583333","dstirk@Wilson.edu","333445533"
"11004402","11004422","Head department of Wilson College","3","6092583336","head.dstirk@Wilson.edu","333445533"
"11005501","11005511","Head department of Rockefeller College","3","6092583444","head.dstirk@Wilson.edu","333445544"
"11005502","11005522","department of Rockefeller College","9","6092583447","dstirk@Wilson.edu","333445544"
"11006601","11006611","Head department of Forbes College","13","6092583555","head.dstirk@Forbes.edu","333445555"
"98765101","56432711","Head department of Harvard  Business School","4","6174951511","head.consolar@hbs.edu","999778811"
"98765102","56432722","department of Harvard  Business School","9","6174951577","admit.consolar@hbs.edu","999778811"
"98765201","56432811","Head department of Harvard Arts &amp; Sciences","8","6174951522","head.consolar@gas.edu","999778822"
"98765202","56432822","department of Harvard Arts &amp; Sciences","2","6174951572","consolar@gas.edu","999778822"
"98765301","56432911","Head department of Harvard Medical School","5","6174951533","head.consolar@hmedical.edu","999778833"
"98765302","56432911","department of Harvard Medical School","9","6174951573","consolar@hmedical.edu","999778833"
"98765401","564321011","Head department of Harvard Law School","2","6174951544","head.consolar@hlaw.edu","999778844"
"98765402","564321022","department of Harvard Law School","9","6174951554","consolar@hlaw.edu","999778844"
"98765501","564321111","Head department of Harvard Division of Continuing Education","10","6174951555","head.consolar@hdce.edu","999778855"
"98765502","564321122","department of Harvard Division of Continuing Education","3","6174951855","consolar@hdce.edu","999778855"
"22009901","22009911","Head department of Berkeley College","4","2034320501","susan.matteo@yale.edu","773488311"
"22009902","22009922","department of Berkeley College","8","2034320511","su.matteo@yale.edu","773488311"
"22009801","22009802","Head department of Branford College","7","2034320501","branford.matteo@yale.edu","773488322"
"22009802","22009822","department of Branford College","3","2034320571","branford.matteo1@yale.edu","773488322"
"22009701","22009703","Head department of Calhoun College","1","2034320503","calhoun.matteo@yale.edu","773488333"
"22009702","22009733","department of Calhoun College","6","2034320593","calhoun.matteo1@yale.edu","773488333"
"22009601","22009604","Head department of Davenport College","3","2034320504","davenport.matteo@yale.edu","773488344"
"22009602","22009644","department of Davenport College","4","2034320524","davenport.matteo1@yale.edu","773488344"
"22009501","22009605","Head department of Morse College","4","2034320505","Morse.matteo@yale.edu","773488355"
"22009502","22009655","department of Morse College","2","2034320535","Morse.matteo1@yale.edu","773488355"
"33901101","33001101","Head department of Stanford Graduate School of Business","4","6507232146","addmi.business@stanford.edu","55773311"
"33001102","33001111","department of Stanford Graduate School of Business","7","6507232186","addmi.busi@stanford.edu","55773311"
"33901201","33001201","Head department of Stanford Graduate School of Earth Sciences","2","6507232122","addmi.earthsci@stanford.edu","55773322"
"33001202","33001222","department of Stanford Graduate School of Earth Sciences","3","6507232122","addmi.earthsci2@stanford.edu","55773322"
"33901301","33001301","Head department of Stanford Graduate School of Engineering","6","6507232133","addmi.eng@stanford.edu","55773333"
"33001302","33001322","department of Stanford Graduate School of Engineering","2","6507232193","addmi.eng@stanford.edu","55773333"
"33901401","33001401","Head department of Stanford Graduate School of Law","4","6507232144","addmi.law@stanford.edu","55773344"
"33001402","33001422","department of Stanford Graduate School of Law","5","6507232154","addmi.law1@stanford.edu","55773344"
"33901501","33001501","Head department of Stanford Graduate School of umanities &amp; Sciences","3","6507232144","addmi.Humanities@stanford.edu","55773355"
"33001502","33001522","department of Stanford Graduate School of umanities &amp; Sciences","3","6507232134","addmi.Humanities1@stanford.edu","55773355"
"44309901","44009901","Head department of college of computer sciences","4","9372293831","info@udayton.edu","44448811"
"44309902","44009922","department of college of computer sciences","2","9372293931","info@udayton.edu","44448811"
"44309801","44009801","Head department of college of Engineering","7","9372292736","info@udayton.edu","44448822"
"44309802","44009822","department of college of Engineering","1","9372292737","info@udayton.edu","44448822"
"44309701","44009701","Head department of college of law","3","9372293795","info@udayton.edu","44448833"
"44309702","44009722","department of college of law","6","9372293785","info@udayton.edu","44448833"
"44309601","44009601","Head department of college of Education and Health Sciences","6","9372293327","info@udayton.edu","44448844"
"44309602","44009622","department of college of Education and Health Sciences","3","9372293347","info@udayton.edu","44448844"
"44309501","44009501","Head department of college of Business Administration","4","937229349","info@udayton.edu","44448855"
"44309502","44009522","department of college of Business Administration","2","937229369","info@udayton.edu","44448855"
