"COURSETITLE","COURSEID","CLASSLOCATION","RESOURCES","NUMSEATS","PROFESSORID"
"CHC","152","yale Y 126","Hematology ","11","1111898855"
"CHC","153","yale Y 127","Pathology","12","1111898856"
"CHC","154","yale Y 128","PathologyII","11","1111898856"
"CHC","155","yale Y 129","Radiology","12","1111898857"
"CHC","651","yale Y 130","PathologyII","11","1111898857"
"CHC","157","yale Y 131","Pathology","45","1111898858"
"CHC","158","yale Y 132","Human Genetics","32","1111898858"
"CHC","159","yale Y 133","Rehabilitation Medicine","54","1111898859"
"CHC","160","yale Y 134","PathologyII","20","1111898859"
"CHC","661","yale Y 135","Surgery","12","1111898860"
"CHC","162","yale Y 136","SurgeryII","11","1111898860"
"ECE","163","yale Y 137","Nuclear Energy","40","11118988061"
"ECE","164","yale Y 138","Nuclear EnergyII","39","11118988061"
"ECE","165","yale Y 139","Industrial Social Sciences","12","11118988062"
"ECE","166","yale Y 140","Industrial II","11","11118988062"
"ECE","167","yale Y 141","Systems Engineering","54","11118988063"
"ECE","168","yale Y 142","Systems EngineeringII","37","11118988063"
"ECE","169","yale Y 143","Harbor Engineering","12","11118988064"
"ECE","170","yale Y 144","Harbor EngineeringII","11","11118988064"
"ECE","171","yale Y 145","Telecommunications ","28","11118988065"
"ECE","172","yale Y 146","NetworksII","28","11118988065"
"CHC","173","yale Y 147","Geophysical Engineering","12","11118988066"
"CHC","174","yale Y 148","Geophysical EngineeringII","11","11118988066"
"MBA","175","yale Y 149","Management","12","1111898867"
"MBA","176","yale Y 150","ManagementII","11","1111898867"
"MBA","177","yale Y 152","Economics ","12","1111898868"
"MBA","178","yale Y 151","Economics II","11","1111898868"
"MBA","179","yale Y 153","Finance","33","1111898869"
"MBA","180","yale Y 154","FinanceII","44","1111898869"
"MBA","181","yale Y 155","Accounting","23","1111898870"
"MBA","182","yale Y 156","AccountingII","56","1111898870"
"MBA","821","yale Y 157","Marketing","23","1111898871"
"MBA","183","yale Y 158","MarketingII","56","1111898871"
"MBA","184","yale Y 159","Accounting","23","1111898872"
"MBA","185","yale Y 160","Intermediate Accounting","56","1111898872"
"MBA","186","yale Y 161","Symphony","54","1111898873"
"MBA","187","yale Y 162","SymphonyII","23","1111898873"
"CPC","188","yale Y 163","Piano","23","1111898874"
"CPC","189","yale Y 164","PianoII","56","1111898874"
"CPC","190","yale Y 165","Programming","23","1111898875"
"CPC","299","yale Y 167","ProgrammingII","56","1111898875"
"CPC","192","yale Y 168","DBMS","23","1111898876"
"CPC","193","yale Y 169","DBMSII","56","1111898876"
"CPC","194","yale Y 170","Viola","11","1111898877"
"CPC","195","yale Y 171","ViolaII","21","1111898877"
"CPC","196","yale Y 172","software Design","65","1111898878"
"CPC","197","yale Y 173","software DesignII","43","1111898878"
"MBA","198","stanford S 101","Management","18","1111898879"
"MBA","199","stanford S 102","ManagementII","39","1111898879"
"MBA","200","stanford S 103","Economics ","20","1111898880"
"MBA","201","stanford S 104","Economics II","49","1111898880"
"MBA","202","stanford S 105","Finance","67","1111898881"
"MBA","203","stanford S 106","ManagementII","45","1111898881"
"MBA","204","stanford S 107","Accounting","42","1111898882"
"MBA","205","stanford S 108","AccountingII","28","1111898882"
"ECE","206","stanford S 109","Applied Geomorphology","42","1111898883"
"ECE","207","stanford S 110","Applied GeomorphologyII","28","1111898883"
"ECE","208","stanford S 111","Earth System","49","1111898884"
"ECE","209","stanford S 112","Earth SystemII","38","1111898884"
"SPS","210","stanford S 113","Earth System","35","1111898885"
"SPS","211","stanford S 114","Earth SystemII","26","1111898885"
"SPS","212","stanford S 115","Volcanology ","49","1111898886"
"SPS","213","stanford S 116","Petrology ","38","1111898886"
"SPS","214","stanford S 117","Data Mining","47","1111898887"
"SPS","215","stanford S 118","Data MiningII","28","1111898887"
"ECE","216","stanford S 119","Geophysical Engineering","36","1111898888"
"ECE","217","stanford S 220","Geophysical EngineeringII","12","1111898888"
"ILE","218","stanford S 221","Law II","16","11118988089"
